TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 867   0.525000   0.125000          0.0179    0.019327
 908   0.550000   0.125000          0.0178    0.019148
 949   0.575000   0.125000          0.0175    0.018851
 990   0.600000   0.125000          0.0172    0.018438
 1031   0.625000   0.125000          0.0166    0.017911
 1072   0.650000   0.125000          0.0161    0.017274
 1113   0.675000   0.125000          0.0153    0.016530
 1154   0.700000   0.125000          0.0146    0.015684
 1195   0.725000   0.125000          0.0136    0.014742
 1236   0.750000   0.125000          0.0127    0.013709
 1277   0.775000   0.125000          0.0115    0.012591
 1318   0.800000   0.125000          0.0105    0.011395
 1359   0.825000   0.125000          0.0091    0.010130
 1400   0.850000   0.125000          0.0081    0.008801
 1441   0.875000   0.125000          0.0065    0.007419
 1482   0.900000   0.125000          0.0055    0.005991
 1523   0.925000   0.125000          0.0037    0.004526
 1564   0.950000   0.125000          0.0027    0.003033
 1605   0.975000   0.125000          0.0008    0.001521
 1646   1.000000   0.125000          0.0000    0.000000
 7   0.000000   0.150000          0.0000    0.000000
 48   0.025000   0.150000          0.0010    0.001805
 89   0.050000   0.150000          0.0034    0.003598
 130   0.075000   0.150000          0.0046    0.005369
 171   0.100000   0.150000          0.0068    0.007107
 212   0.125000   0.150000          0.0081    0.008801
 253   0.150000   0.150000          0.0101    0.010442
 294   0.175000   0.150000          0.0114    0.012017
 335   0.200000   0.150000          0.0131    0.013519
 376   0.225000   0.150000          0.0143    0.014937
 417   0.250000   0.150000          0.0158    0.016263
 458   0.275000   0.150000          0.0169    0.017489
 499   0.300000   0.150000          0.0181    0.018607
 540   0.325000   0.150000          0.0190    0.019610
 581   0.350000   0.150000          0.0200    0.020493
 622   0.375000   0.150000          0.0206    0.021249
 663   0.400000   0.150000          0.0214    0.021874
 704   0.425000   0.150000          0.0218    0.022364
 745   0.450000   0.150000          0.0222    0.022716
 786   0.475000   0.150000          0.0223    0.022929
 827   0.500000   0.150000          0.0225    0.022999
 868   0.525000   0.150000          0.0223    0.022929
 909   0.550000   0.150000          0.0222    0.022716
 950   0.575000   0.150000          0.0218    0.022364
 991   0.600000   0.150000          0.0214    0.021874
 1032   0.625000   0.150000          0.0206    0.021249
 1073   0.650000   0.150000          0.0200    0.020493
 1114   0.675000   0.150000          0.0190    0.019610
 1155   0.700000   0.150000          0.0181    0.018607
 1196   0.725000   0.150000          0.0169    0.017489
 1237   0.750000   0.150000          0.0158    0.016263
 1278   0.775000   0.150000          0.0143    0.014937
 1319   0.800000   0.150000          0.0131    0.013519
 1360   0.825000   0.150000          0.0114    0.012017
 1401   0.850000   0.150000          0.0101    0.010442
 1442   0.875000   0.150000          0.0081    0.008801
 1483   0.900000   0.150000          0.0068    0.007107
 1524   0.925000   0.150000          0.0046    0.005369
